candidate_group,candidate_no,ires_name
1,1,"SV-Hu-Baja"
1,2,"SV-BN-5"
1,3,"SV-FUAN-01"
1,4,"EcV-30"
1,5,"EV-B82"
1,6,"EV-A71"
1,7,"EV-B107"
1,8,"EcV-17"
1,9,"EV-B87"
1,10,"EV-B80"
1,11,"SV-YZ01"
1,12,"SV-YZ02"
1,13,"SV-CHN-XJ"
1,14,"SV-YZ03"
1,15,"SV-A02394"
1,16,"SV-NG-J1"
1,17,"SV-BN-2"
1,18,"SV-ETH"
1,19,"SV-GUT"
1,20,"SV-SZ1"
1,21,"SV-CH"
2,1,"SV-SH1"
2,2,"EV-B83"
2,3,"EV-B114"
2,4,"EcV-29"
2,5,"EcV-33"
2,6,"HRV-B-R93"
2,7,"HRV-B72"
2,8,"HRV-B93"
2,9,"HRV-B14"
2,10,"HRV-B6"
2,11,"HRV-B92"
2,12,"HRV-B27"
2,13,"HRV-A1"
2,14,"HRV-B83"
2,15,"HRV-B3"
2,16,"HRV-B97"
2,17,"HRV-B4"
2,18,"HRV-B79"
2,19,"EcV-20"
2,20,"EcV-25"
2,21,"EcV-26"
3,1,"coxsackievirus A1"
3,2,"coxsackievirus A10"
3,3,"coxsackievirus A11"
3,4,"coxsackievirus A12"
3,5,"coxsackievirus A13"
3,6,"coxsackievirus A14"
3,7,"coxsackievirus A15"
3,8,"coxsackievirus A16"
3,9,"coxsackievirus A17"
3,10,"coxsackievirus A18"
3,11,"coxsackievirus A19"
3,12,"coxsackievirus A2"
3,13,"coxsackievirus A20"
3,14,"coxsackievirus A21"
3,15,"coxsackievirus A22"
3,16,"coxsackievirus A24"
3,17,"coxsackievirus A3"
3,18,"coxsackievirus A4"
3,19,"coxsackievirus A5"
3,20,"coxsackievirus A6"
3,21,"coxsackievirus A7"
3,22,"coxsackievirus A8"
3,23,"coxsackievirus A9"
4,1,"coxsackievirus B1"
4,2,"coxsackievirus B2"
4,3,"coxsackievirus B3"
4,4,"coxsackievirus B4"
4,5,"coxsackievirus B5"
4,6,"EMCV-HN13"
4,7,"EMCV-BD2"
4,8,"EMCV-BJC3"
4,9,"coxsackievirus B6"
4,10,"EMCV-30"
4,11,"EMCV-HB1"
4,12,"Poliovirus 1 Mahoney"
4,13,"Poliovirus 2 Sabin"
4,14,"Poliovirus 3 Sabin"
4,15,"Poliovirus 1 Sabin"
4,16,"Poliovirus 2 Lansing"
4,17,"Poliovirus 3 23127"
5,1,"FMDV A VIT"
5,2,"FMDV Asia 1 HN"
5,3,"FMDV O IRN_073/2001"
5,4,"FMDV O UKG/220/2001"
5,5,"FMDV SAT 3 UGA/1/13"
5,6,"FMDV A10holland"
5,7,"FMDV A12valle 119"
5,8,"FMDV A22iraq-95"
5,9,"FMDV A24cruzeiro"
5,10,"FMDV A5westerwald"
5,11,"FMDV C1noville"
5,12,"FMDV C3resende"
5,13,"FMDV C4Tierra del Fuego"
5,14,"FMDV C5arg"
5,15,"FMDV O1manisa"
5,16,"FMDV OHKN"
5,17,"FMDV OKEN"
5,18,"FMDV O5india"
5,19,"FMDV OSKR"
5,20,"FMDV SAT 1"
5,21,"FMDV SAT 2"
