screening_group,run,sample_id,FHB_normalized,SD,source_slide
0,1,1st-1,1-1,125.72,4.3,26
1,1,1st-1,1-9,100.82,5.87,26
2,1,1st-1,1-15,93.65,8.96,26
3,1,1st-1,1-17,103.58,4.4,26
4,1,1st-1,1-19,105.91,3.31,26
5,1,1st-1,1-21,97.62,10.42,26
6,1,1st-1,1-22,19.81,2.27,26
7,1,1st-1,1-23,111.92,7.04,26
8,1,1st-1,1-24,425.59,1.87,26
9,1,1st-1,1-27,457.24,59.71,26
10,1,1st-1,1-28,91.31,0.33,26
11,1,1st-1,1-30,85.49,2.31,26
12,1,1st-1,1-31,96.26,0.42,26
13,1,1st-1,1-32,83.59,2.21,26
14,1,1st-1,1-33,84.64,0.16,26
15,1,1st-1,1-34,108.32,1.4,26
16,1,1st-1,1-35,87.99,3.72,26
17,1,1st-1,1-36,117.83,15.08,26
18,1,1st-1,1-37,67.32,0.5,26
19,1,1st-1,1-38,115.83,12.5,26
20,1,1st-1,1-41,9.82,0.02,26
21,1,1st-1,1-42,95.02,1.33,26
22,1,1st-1,1-43,136.9,1.54,26
23,1,1st-1,1-44,116.06,0.36,26
24,1,1st-1,1-45,94.4,0.79,26
25,1,1st-1,1-46,208.53,17.67,26
26,1,1st-1,1-47,85.55,11.63,26
27,1,1st-1,1-48,144.87,9.03,26
28,1,1st-1,2-1,127.85,7.69,26
29,1,1st-1,2-2,131.37,8.75,26
30,1,1st-1,2-3,76.07,8.42,26
31,1,1st-1,2-4,79.75,5.96,26
32,1,1st-1,2-5,73.73,5.14,26
33,1,1st-1,2-6,42.41,2.6,26
34,1,1st-1,2-7,82.12,5.02,26
35,1,2nd-1,1-49,2.2,0.31,28
36,1,2nd-1,1-50,91.41,6.28,28
37,1,2nd-1,1-51,41.37,2.14,28
38,1,2nd-1,1-52,86.73,4.88,28
39,1,2nd-1,1-53,96.2,3.95,28
40,1,2nd-1,1-54,90.37,0.5,28
41,1,2nd-1,1-55,91.14,5.02,28
42,1,2nd-1,1-56,91.69,9.71,28
43,1,2nd-1,1-57,2.76,0.08,28
44,1,2nd-1,1-58,141.88,2.2,28
45,1,2nd-1,1-59,97.62,2.26,28
46,1,2nd-1,1-60,138.91,40.36,28
47,1,2nd-1,1-61,1.72,0.33,28
48,1,2nd-1,1-62,150.59,8.01,28
49,1,2nd-1,1-63,59.95,2.32,28
50,1,2nd-1,1-64,38.21,2.69,28
