construct,normalized_FHB,SD
FHB,100.00,1.19
EVB80,367.61,2.77
EVB80 5'HBA1,68.52,1.55
EVB80 3' ACAT1,225.77,4.22
EVB80 3' HBA1,306.25,44.95
FMDV,248.02,7.69
FMDV 5' HBA1,4.03,0.10
FMDV 3' ACAT1,287.79,10.71
FMDV 3' HBA1,257.17,0.58
CVA3,259.66,8.92
CVA3 5' ACAT1,31.80,0.59
CVA3 5' HBA1,63.55,1.05
CVA3 3' ACAT1,206.15,3.89
CVA3 3' HBA1,272.23,7.15
CVA7,270.77,21.49
CVA7 5' ACAT1,33.18,1.39
CVA7 5' HBA1,55.30,2.93
CVA7 3' ACAT1,188.49,20.00
CVA7 3' HBA1,240.73,8.39
CVA12,225.27,17.26
CVA12 5' ACAT1,37.58,0.62
CVA12 5' HBA1,100.72,6.96
CVA12 3' ACAT1,257.69,16.87
CVA12 3' HBA1,267.59,3.75
